id;name;nationality;birthDate;height;hairColor;eyeColor;ethnicity
1;Silvia Saint;Czech;1976-02-12;165;Blonde;Blue;White
2;Vanessa del Rio;American;1952-03-31;168;Black;Black;Latin
3;Lisa Ann;American;1972-05-09;157;Brown;Brown;White
4;Hitomi Tanaka;Japanese;1986-07-18;156;Black;Black;Asian
5;Mila Shegol;Ukrainian;1970-04-20;160;Blonde;Green;White
6;Coco Pink;American;1972-03-26;160;Brown;Black;Black
7;Rebecca Linares;Spanish;1983-06-03;155;Black;Brown;Latin
8;Barbie Sins;British;1991-12-17;155;Blonde;Green;White
9;Mia Linz;Brazilian;1992-02-18;160;Blonde;Brown;Latin
10;Kendra Star;Russian;1991-06-01;168;Black;Brown;White
11;Kathy Heart;Hungarian;1980-05-03;168;Blonde;Brown;White
12;Katja Kassin;German;1979-09-24;155;Ginger;Blue;White
13;Laura Angel;Czech;1974-10-16;168;Black;Black;White
14;Erika Bella;Hungarian;1972-08-23;165;Black;Green;White
